date,Total_Daily_PnL,Total_Daily_Volume,Net_Trade_Flow,Trade_Count,Classification,Sentiment_Score
2024-10-30,9.150023,11830.85,-11830.85,25,Greed,1
2024-10-31,1214.043811,896173.36,-896173.36,48,Greed,1
2024-11-01,1040.475736,260981.03,-260981.03,23,Greed,1
2024-11-02,0.0,40000.0,-40000.0,2,Greed,1
2024-11-03,0.0,129055.66,-129055.66,6,Greed,1
2024-11-04,2799.410474,451811.97,-451811.97,36,Greed,1
2024-11-05,678.4759280000001,200627.23,-200627.23,10,Greed,1
2024-11-06,2817.83723,123906.9,-123906.9,15,Greed,1
2024-11-07,4493.353136,111335.3,-91659.66,113,Greed,1
2024-11-08,-64.41354100000007,270700.44,-270700.44,39,Greed,1
2024-11-09,102.90894,193384.41,-193384.41,86,Greed,1
2024-11-10,991.114334,413636.7,-413636.7,173,Greed,1
2024-11-11,6749.630996,1570572.42,-1570572.42,373,Greed,1
2024-11-12,3494.399394,1226354.52,-1226354.52,171,Greed,1
2024-11-13,7846.402274,515336.37,-515336.37,48,Greed,1
2024-11-14,4563.509225,1008361.81,-1008361.81,110,Greed,1
2024-11-15,4140.740438,1427858.42,-1427858.42,149,Greed,1
2024-11-16,2769.521909,303296.07,-302195.89,157,Greed,1
2024-11-17,882.975285,1215987.57,-1215885.51,209,Greed,1
2024-11-18,4470.815187,2084339.58,-2083540.92,346,Greed,1
2024-11-19,2958.268991,628031.15,-627928.47,305,Greed,1
2024-11-20,4210.0928969999995,1999514.1199999999,-1999514.1199999999,550,Greed,1
2024-11-21,1692.430891,598300.62,-596937.74,535,Greed,1
2024-11-22,-18105.345617,1646713.62,-1646413.82,679,Greed,1
2024-11-23,2901.531638,516245.68,-516003.12,363,Greed,1
2024-11-24,945.550386,664952.28,-664852.42,172,Greed,1
2024-11-25,5523.740734,937410.87,-937109.35,255,Greed,1
2024-11-26,1094.809359,1146902.44,-1146067.26,302,Greed,1
2024-11-27,-2654.495633,1444242.53,-1443915.57,213,Greed,1
2024-11-28,-127075.39958499999,1894225.15,-1893486.11,332,Greed,1
2024-11-29,176844.994152,794262.91,-166042.44999999998,393,Greed,1
2024-11-30,37316.69352,1732193.7,-1536941.02,373,Greed,1
2024-12-01,40886.364494,814711.82,-785837.98,416,Greed,1
2024-12-02,18489.604313,585243.56,-324803.9,270,Greed,1
2024-12-03,23576.539285,1084666.53,-871628.69,374,Greed,1
2024-12-04,292891.815021,769287.65,-757124.51,319,Greed,1
2024-12-05,71574.11848800001,1256750.79,-1228786.57,456,Greed,1
2024-12-06,-92624.643895,3471019.22,-3289106.62,403,Greed,1
2024-12-07,85906.279067,451733.42,-435094.26,304,Greed,1
2024-12-08,15965.933436,932939.72,-860527.36,420,Greed,1
2024-12-09,6310.967676,983949.68,-268074.04,539,Greed,1
2024-12-10,39325.770231,3150424.08,-1166082.76,1596,Greed,1
2024-12-11,319051.554217,2194098.33,-2094078.57,1221,Greed,1
2024-12-12,599151.795008,4557189.87,-2556009.33,1932,Greed,1
2024-12-13,31935.901745,2880824.64,-1133475.92,1173,Greed,1
2024-12-14,167801.399244,2369561.78,-1073013.2,1235,Greed,1
2024-12-15,97525.315279,2583269.81,-611724.95,1697,Greed,1
2024-12-16,166774.344133,2740808.97,-1731159.87,1055,Greed,1
2024-12-17,219591.305172,5233597.63,-3537049.81,1941,Greed,1
2024-12-18,13682.994673,3798887.07,-2743360.37,1429,Greed,1
2024-12-19,62744.004486000005,8241709.39,-3195701.75,3339,Greed,1
2024-12-20,254969.660039,7681274.71,-4194633.95,2488,Greed,1
2024-12-21,150022.163157,4382875.12,-2622137.62,1681,Greed,1
2024-12-22,352197.163973,3087320.22,-2239769.2,774,Greed,1
2024-12-23,-29430.626577,6771878.26,-2327990.62,2347,Greed,1
